filename,chain,vuln_class,instance,strategy,model,DR,FPR,EQS,RC,notes
algorand_v6_logsig_abuse_inst1_cot_claude-3-7.json,algorand,v6_logsig_abuse,inst1,cot,claude-3-7,1,,5,1,
algorand_v6_logsig_abuse_inst1_cot_codellama.json,algorand,v6_logsig_abuse,inst1,cot,codellama,1,,2,1,
algorand_v6_logsig_abuse_inst1_cot_gpt-4o.json,algorand,v6_logsig_abuse,inst1,cot,gpt-4o,1,,2,1,
algorand_v6_logsig_abuse_inst1_rag_claude-3-7.json,algorand,v6_logsig_abuse,inst1,rag,claude-3-7,1,,2,1,
algorand_v6_logsig_abuse_inst1_rag_codellama.json,algorand,v6_logsig_abuse,inst1,rag,codellama,1,,2,1,
algorand_v6_logsig_abuse_inst1_rag_gpt-4o.json,algorand,v6_logsig_abuse,inst1,rag,gpt-4o,1,,2,1,
algorand_v6_logsig_abuse_inst1_zero_shot_claude-3-7.json,algorand,v6_logsig_abuse,inst1,zero_shot,claude-3-7,1,,4,1,
algorand_v6_logsig_abuse_inst1_zero_shot_codellama.json,algorand,v6_logsig_abuse,inst1,zero_shot,codellama,1,,2,1,
algorand_v6_logsig_abuse_inst1_zero_shot_gpt-4o.json,algorand,v6_logsig_abuse,inst1,zero_shot,gpt-4o,1,,2,1,
algorand_v6_logsig_abuse_inst2_cot_claude-3-7.json,algorand,v6_logsig_abuse,inst2,cot,claude-3-7,1,,5,1,
algorand_v6_logsig_abuse_inst2_cot_codellama.json,algorand,v6_logsig_abuse,inst2,cot,codellama,1,,2,1,
algorand_v6_logsig_abuse_inst2_cot_gpt-4o.json,algorand,v6_logsig_abuse,inst2,cot,gpt-4o,1,,2,1,
algorand_v6_logsig_abuse_inst2_rag_claude-3-7.json,algorand,v6_logsig_abuse,inst2,rag,claude-3-7,1,,2,1,
algorand_v6_logsig_abuse_inst2_rag_codellama.json,algorand,v6_logsig_abuse,inst2,rag,codellama,1,,2,1,
algorand_v6_logsig_abuse_inst2_rag_gpt-4o.json,algorand,v6_logsig_abuse,inst2,rag,gpt-4o,1,,2,1,
algorand_v6_logsig_abuse_inst2_zero_shot_claude-3-7.json,algorand,v6_logsig_abuse,inst2,zero_shot,claude-3-7,1,,2,1,
algorand_v6_logsig_abuse_inst2_zero_shot_codellama.json,algorand,v6_logsig_abuse,inst2,zero_shot,codellama,1,,2,1,
algorand_v6_logsig_abuse_inst2_zero_shot_gpt-4o.json,algorand,v6_logsig_abuse,inst2,zero_shot,gpt-4o,1,,2,1,
algorand_v6_logsig_abuse_inst3_cot_claude-3-7.json,algorand,v6_logsig_abuse,inst3,cot,claude-3-7,1,,5,1,
algorand_v6_logsig_abuse_inst3_cot_codellama.json,algorand,v6_logsig_abuse,inst3,cot,codellama,1,,2,1,
algorand_v6_logsig_abuse_inst3_cot_gpt-4o.json,algorand,v6_logsig_abuse,inst3,cot,gpt-4o,1,,2,1,
algorand_v6_logsig_abuse_inst3_rag_claude-3-7.json,algorand,v6_logsig_abuse,inst3,rag,claude-3-7,1,,2,1,
algorand_v6_logsig_abuse_inst3_rag_codellama.json,algorand,v6_logsig_abuse,inst3,rag,codellama,1,,2,1,
algorand_v6_logsig_abuse_inst3_rag_gpt-4o.json,algorand,v6_logsig_abuse,inst3,rag,gpt-4o,1,,2,1,
